DEVICE:   TEM
TYP:      GTEM1500

# test name:	Punkt_6

# calibration date:	8/18/2020 1:21 PM

FMIN:	80.000000
FMAX:	1000.000000

HSEPTUM:   1.73 m

REFERENCE: 5.000000 V/m

INPUT:     f[MHz] input[dBm]
80.000000 39.434530
80.800000 39.524731
81.608000 39.442599
82.424080 39.441204
83.248321 39.429448
84.080804 39.453444
84.921612 39.503927
85.770828 39.627483
86.628536 39.836621
87.494822 40.213610
88.369770 40.890747
89.253468 41.716753
90.146002 42.375097
91.047462 42.405171
91.957937 41.881214
92.877516 41.354089
93.806292 40.917425
94.744355 40.565422
95.691798 40.294147
96.648716 40.096038
97.615203 40.030589
98.591355 40.000801
99.577269 39.901823
100.573041 39.701765
101.578772 39.468662
102.594560 39.260685
103.620505 39.065314
104.656710 38.834006
105.703277 38.702334
106.760310 38.590418
107.827913 38.455420
108.906192 38.409707
109.995254 38.584728
111.095207 38.923585
112.206159 39.378610
113.328220 39.570067
114.461503 39.472903
115.606118 39.090646
116.762179 38.741243
117.929801 38.054028
119.109099 37.534258
120.300190 37.007306
121.503192 36.513929
122.718223 36.072830
123.945406 35.671611
125.184860 35.353299
126.436708 35.006633
127.701075 34.688397
128.978086 34.495151
130.267867 34.406405
131.570546 34.572073
132.886251 34.979906
134.215114 35.512767
135.557265 35.706293
136.912838 35.758583
138.281966 35.772603
139.664786 35.786355
141.061433 35.873753
142.472048 35.971243
143.896768 36.021490
145.335736 35.836876
146.789093 35.515685
148.256984 35.218506
149.739554 35.064202
151.236950 35.073508
152.749319 35.157894
154.276812 35.221404
155.819580 35.216721
157.377776 35.140588
158.951554 35.166244
160.541069 35.312937
162.146480 35.492119
163.767945 35.647507
165.405624 35.785514
167.059681 35.865496
168.730277 36.025479
170.417580 36.339600
172.121756 36.638836
173.842974 36.886438
175.581403 36.877496
177.337217 36.427349
179.110590 35.812783
180.901695 35.324034
182.710712 35.062399
184.537820 35.033492
186.383198 35.125857
188.247030 35.261377
190.129500 35.452856
192.030795 35.594155
193.951103 35.747097
195.890614 35.814498
197.849520 35.637369
199.828015 35.255861
201.826295 34.571576
203.844558 33.897359
205.883004 33.518350
207.941834 33.421552
210.021252 33.586946
212.121465 33.994099
214.242680 34.503257
216.385106 35.003019
218.548957 35.072090
220.734447 34.758289
222.941791 34.171546
225.171209 33.699362
227.422921 33.417116
229.697151 33.545278
231.994122 34.007116
234.314063 34.648633
236.657204 35.426557
239.023776 36.486713
241.414014 37.616943
243.828154 38.862190
246.266436 40.084682
248.729100 41.305093
251.216391 42.079102
253.728555 41.832010
256.265840 40.593885
258.828499 39.384719
261.416784 38.562763
264.030952 38.047154
266.671261 36.572765
269.337974 34.210825
272.031353 32.923186
274.751667 33.009277
277.499184 33.629487
280.274175 34.282110
283.076917 34.618546
285.907686 34.649880
288.766763 34.683642
291.654431 34.772926
294.570975 34.843523
297.516685 34.893849
300.491852 35.020266
303.496770 35.070543
306.531738 35.257544
309.597055 35.498114
312.693026 34.997073
315.819956 34.158768
318.978156 33.794981
322.167937 33.875001
325.389617 34.438846
328.643513 35.403701
331.929948 36.319868
335.249247 36.546074
338.601740 36.517533
341.987757 36.444640
345.407635 36.440105
348.861711 37.056242
352.350328 37.668511
355.873832 37.272751
359.432570 35.709725
363.026896 34.244840
366.657165 33.746414
370.323736 34.282764
374.026974 35.093852
377.767243 35.204849
381.544916 34.810414
385.360365 34.882652
389.213969 35.220361
393.106108 35.503478
397.037169 35.866230
401.007541 35.777606
405.017617 35.286138
409.067793 35.164292
413.158471 35.823413
417.290055 36.439440
421.462956 37.207774
425.677585 37.812753
429.934361 37.557400
434.233705 37.780581
438.576042 38.548287
442.961802 38.390962
447.391420 37.974912
451.865335 37.321650
456.383988 36.716153
460.947828 36.284701
465.557306 36.464913
470.212879 37.312342
474.915008 38.518613
479.664158 38.652034
484.460800 37.665509
489.305408 37.710688
494.198462 38.247343
499.140446 37.622663
504.131851 36.785508
509.173169 36.049442
514.264901 35.983730
519.407550 37.150738
524.601625 37.792054
529.847642 36.344808
535.146118 35.223984
540.497579 35.066896
545.902555 36.993994
551.361581 38.113254
556.875196 36.532220
562.443948 35.911565
568.068388 37.637048
573.749072 40.944270
579.486563 39.528161
585.281428 37.002311
591.134242 35.685950
597.045585 36.151322
603.016041 37.219283
609.046201 37.743211
615.136663 37.783086
621.288030 38.976211
627.500910 39.253004
633.775919 37.145191
640.113678 36.885105
646.514815 39.512903
652.979963 42.345043
659.509763 41.470401
666.104861 38.291812
672.765909 38.129643
679.493568 37.974351
686.288504 37.597932
693.151389 37.610190
700.082903 37.331829
707.083732 37.679250
714.154569 39.026546
721.296115 37.487680
728.509076 37.280471
735.794167 38.494227
743.152108 38.044455
750.583630 36.900999
758.089466 37.399939
765.670360 38.946415
773.327064 39.991600
781.060335 38.780401
788.870938 39.209356
796.759647 44.330061
804.727244 42.459962
812.774516 39.406011
820.902262 41.849282
829.111284 44.408105
837.402397 40.549466
845.776421 41.783983
854.234185 44.966772
862.776527 41.313643
871.404292 40.345246
880.118335 42.536806
888.919519 43.149735
897.808714 39.902039
906.786801 40.685549
915.854669 41.557196
925.013216 39.301337
934.263348 38.599987
943.605981 40.009206
953.042041 40.979663
962.572461 40.169062
972.198186 40.478509
981.920168 41.574827
991.739370 39.823993
1000.000000 42.832850

